epsilon_in(e),epsilon_out(E),nanoparticle_charge(V),counterion_valency(v),total_gridpoints(g),cpmd_fake_mass(M),fake_temperature(k),R,R_v,FD,Good(1)/Bad(0),Time
160,30,-20,3,1692,36,0.005,0.711032,1.59591,120.172,0,251m4.903s
160,30,-20,3,1692,36,0.015,2.34708,1.58534,116.618,0,251m6.530s
160,30,-20,3,1692,36,0.05,46.9592,19.3319,97.2582,0,250m15.916s
160,30,-20,3,1692,36,0.0025,0.595252,2.39335,86.6011,0,251m15.269s
160,30,-20,3,1692,36,0.001,0.818449,9.18531,52.7992,0,251m14.324s
160,30,-20,2,1692,36,0.005,0.305078,0.628644,51.0927,0,252m23.766s
160,30,-60,3,1692,36,0.05,23.1286,22.3518,31.7789,0,263m21.678s
160,30,-20,2,1692,36,0.0025,0.097962,0.629633,24.4573,0,252m51.253s
160,30,-20,2,1692,36,0.001,0.053537,0.783789,24.3242,0,252m7.084s
160,30,-20,2,1692,36,0.025,1.01459,0.73804,19.1326,0,252m2.466s
160,30,-60,3,1692,36,0.0025,1.38076,14.342,18.9224,0,264m51.732s
160,30,-60,3,1692,36,0.025,0.783335,0.887761,18.383,0,264m29.552s
160,30,-60,3,1692,36,0.001,36.9257,491.468,16.3082,0,265m15.053s
160,30,-60,3,1692,36,0.015,0.804684,1.52228,16.1114,0,263m43.071s
160,30,-100,3,1692,36,0.005,0.731316,6.12235,16.0543,0,262m27.431s
160,30,-20,3,1692,36,0.025,1.51433,0.670379,13.9674,0,251m15.944s
160,30,-100,3,1692,36,0.015,0.720635,1.93096,13.6419,0,262m54.679s
160,30,-60,3,132,3,0.001,1220.41,1543.14,12.881,0,11m48.365s
160,30,-60,3,1692,36,0.005,0.595336,4.17237,12.7017,0,264m16.661s
160,30,-100,3,1692,36,0.001,322.384,3598.48,11.9429,0,261m35.870s
160,30,-60,3,1692,36,0.1,748.85,667.325,11.4433,0,263m0.308s
160,30,-60,2,1692,36,0.001,0.177159,5.79391,10.8036,0,270m15.932s
160,30,-20,2,1692,36,0.015,1.37485,0.932647,10.6457,0,252m46.741s
160,30,-60,2,1692,36,0.0025,0.13149,1.77073,10.5388,0,270m35.612s
160,30,-100,3,1692,36,0.1,661.337,725.266,10.4878,0,261m43.320s
160,30,-100,3,1692,36,0.0025,7.21006,91.7523,9.42959,0,261m43.018s
160,30,-100,3,1692,36,0.025,0.772251,1.24148,9.4179,0,261m23.035s
160,30,-60,2,1692,36,0.005,0.197317,1.20339,7.91483,0,270m44.051s
160,30,-100,3,1692,36,0.05,17.6622,19.0021,7.43777,0,262m10.560s
160,30,-60,2,1692,36,0.015,0.640355,0.922576,6.88015,0,270m57.682s
160,30,-20,3,1692,18,0.0025,1.09441,13.3777,5.62176,0,250m27.470s
160,30,-100,2,1692,36,0.0025,0.180114,3.81603,5.61989,0,272m54.537s
160,30,-60,2,1692,36,0.05,15.9098,19.7357,5.4184,0,272m7.500s
160,30,-100,2,1692,36,0.001,0.206658,8.13452,5.22126,0,273m6.907s
160,30,-60,2,1692,36,0.025,0.658509,0.834699,4.98011,0,270m36.908s
160,30,-100,2,1692,36,0.025,0.461005,1.00129,4.22611,0,272m51.025s
160,30,-100,2,1692,36,0.015,0.309822,0.892932,4.09142,0,272m56.532s
160,30,-100,2,1692,36,0.005,0.267215,2.48322,3.75673,0,273m48.114s
160,30,-20,3,1692,18,0.001,0.828652,11.0744,3.64782,0,251m9.424s
160,30,-100,2,1692,36,0.05,13.3692,19.3158,3.57034,0,273m35.512s
160,30,-60,3,1692,18,0.005,2.03831,34.1188,3.17624,0,267m38.789s
160,30,-60,3,1692,18,0.001,0.768128,14.9898,2.99522,0,266m28.385s
160,30,-60,3,1692,18,0.0025,1.04246,16.1506,2.64649,0,267m29.464s
160,30,-60,1,1692,36,0.0025,0.0580711,0.53467,2.4044,0,276m15.505s
160,30,-60,1,1692,36,0.001,0.0281448,0.892168,2.22723,0,276m49.700s
160,30,-20,3,1692,18,0.005,3.11347,34.1468,2.21497,0,250m7.732s
160,30,-100,3,1692,18,0.001,15.9021,311.779,1.99199,0,261m55.749s
160,30,-100,3,1692,18,0.0025,0.751652,10.6046,1.88544,0,261m39.752s
160,30,-60,1,1692,36,0.005,0.134914,0.612909,1.87569,0,276m29.739s
160,30,-100,3,1692,18,0.005,2.99828,38.6363,1.83055,0,262m16.881s
160,30,-100,1,1692,36,0.001,0.0507794,3.41884,1.7916,0,301m12.345s
160,30,-20,2,1692,18,0.001,0.257645,8.4734,1.74074,0,253m46.922s
160,30,-100,3,1692,18,0.015,26.417,222.865,1.60755,0,262m45.676s
160,30,-60,3,1692,18,0.015,23.0906,181.113,1.5753,0,266m56.062s
160,30,-60,2,1692,18,0.0025,2.17668,44.2457,1.31351,0,270m47.838s
160,30,-100,1,1692,36,0.0025,0.0593424,1.08234,1.25005,0,301m39.161s
160,30,-60,2,1692,18,0.001,0.229212,9.34867,1.24309,0,270m58.415s
160,30,-100,1,1692,36,0.005,0.090107,0.696063,1.08739,0,302m5.456s
160,30,-20,3,132,6,0.005,0.0457895,1.17891,1.07993,0,9m6.803s
160,30,-60,2,1692,36,0.1,536.96,909.888,1.04199,0,271m30.841s
160,30,-100,2,1692,18,0.001,0.140841,6.97011,1.00298,0,272m45.228s
160,30,-20,3,132,6,0.0025,0.0159234,0.601464,0.953758,0,9m4.837s
160,30,-20,2,132,6,0.015,0.00874512,0.158385,0.913048,0,9m33.901s
160,30,-20,3,132,6,0.001,0.00976944,0.669457,0.885992,0,9m22.565s
160,30,-100,2,1692,18,0.0025,0.246972,5.41136,0.84327,0,272m49.922s
160,30,-100,2,1692,36,0.1,274.279,524.569,0.837496,0,273m2.767s
160,30,-60,2,1692,18,0.005,3.08493,44.13,0.836479,0,271m58.716s
160,30,-20,1,1692,36,0.001,0.0578095,0.531998,0.805824,0,256m36.922s
160,30,-100,2,1692,18,0.005,1.5128,22.2394,0.800199,0,273m48.071s
160,30,-100,1,1692,36,0.025,0.348587,0.802452,0.764895,0,302m13.520s
160,30,-100,3,1692,18,0.025,83.8495,408.539,0.764744,0,261m31.386s
160,30,-20,2,132,6,0.005,0.0161596,0.67492,0.763465,0,9m32.633s
160,30,-100,1,1692,36,0.015,0.564436,1.13123,0.680254,0,302m19.960s
160,30,-20,3,132,6,0.015,0.137194,1.57015,0.655922,0,9m8.406s
160,30,-20,2,132,6,0.025,0.0190623,0.131208,0.65566,1,9m3.419s
160,30,-20,3,1692,50,0.001,2.08154,17.9447,0.630508,0,250m48.882s
160,30,-20,3,132,6,0.025,0.0392792,0.239769,0.603422,0,8m40.115s
160,30,-60,1,1692,36,0.015,0.728333,1.32649,0.465104,0,276m17.878s
160,30,-60,3,1692,50,0.0025,2.81596,25.8746,0.33573,0,264m50.202s
160,30,-60,3,1692,50,0.001,0.523167,18.209,0.229713,0,264m37.007s
160,30,-100,1,1692,18,0.001,0.0850096,6.20918,0.208262,0,303m54.216s
160,30,-100,2,1692,18,0.015,21.9667,248.425,0.1854,0,272m44.821s
160,30,-20,2,1692,50,0.001,0.0434766,1.14638,0.183244,0,253m16.176s
160,30,-60,3,1692,50,0.005,0.483575,5.22491,0.178941,0,265m13.926s
160,30,-100,3,1692,50,0.0025,0.584592,29.6305,0.173791,0,262m10.389s
160,30,-60,2,1692,50,0.001,0.141776,5.91536,0.156461,0,270m57.027s
160,30,-60,3,1692,30,0.001,14.5769,187.965,0.156212,0,265m19.469s
160,30,-60,1,1692,18,0.001,0.108413,8.22711,0.154148,0,276m40.141s
160,30,-100,3,1692,50,0.005,1.75274,20.1831,0.147259,0,262m18.492s
160,30,-20,3,752,30,0.001,6.12787,50.4563,0.145335,0,52m9.013s
160,78.5,-60,3,132,6,0.001,0.00631213,0.932352,0.136402,0,10m39.267s
160,30,-100,3,1692,50,0.001,686.533,3623.47,0.130794,0,261m57.092s
160,30,-20,3,1692,50,0.0025,0.472541,4.10811,0.109563,0,251m1.373s
160,30,-20,1,1692,36,0.0025,0.126587,0.52619,0.108425,0,257m8.299s
160,78.5,-60,3,132,6,0.0025,0.00727953,0.75868,0.0995413,0,10m32.937s
160,30,-60,3,752,30,0.001,1.02835,51.4164,0.0897947,0,62m48.104s
160,30,-100,3,1692,30,0.0025,2.17539,29.1786,0.0874049,0,261m45.675s
160,30,-100,3,1692,30,0.001,174.162,2511.76,0.0864108,0,261m54.501s
160,30,-60,2,1692,50,0.0025,0.108393,2.54666,0.0745041,0,271m52.601s
160,78.5,-60,3,132,6,0.005,0.00858408,0.676871,0.0632372,0,10m28.929s
160,30,-60,2,1692,30,0.001,0.137349,4.23354,0.0606865,0,270m14.694s
160,30,-60,3,752,30,0.0025,0.247825,9.99268,0.0553353,0,59m36.863s
160,30,-100,2,1692,50,0.001,0.568758,13.9021,0.0551956,0,272m35.293s
160,30,-60,3,1692,30,0.0025,0.902636,8.30502,0.0541753,0,265m50.822s
160,30,-100,2,1692,30,0.001,0.147558,2.77134,0.0491606,0,273m24.211s
160,30,-100,1,1692,18,0.0025,0.240264,6.60664,0.0457939,0,303m23.848s
160,30,-20,3,752,36,0.001,12.9122,93.6113,0.0445006,0,52m13.365s
160,30,-60,3,752,30,0.005,1.36831,15.8085,0.0371882,0,59m26.110s
160,78.5,-100,3,132,18,0.001,96.374,9144.87,0.0366428,0,10m13.235s
160,30,-100,3,752,30,0.001,2.92803,80.4901,0.0360981,0,59m41.044s
160,30,-100,2,1692,50,0.0025,0.197883,5.13817,0.0358206,0,273m17.543s
160,30,-100,3,752,30,0.0025,1.20198,20.562,0.0329561,0,60m1.221s
160,30,-100,3,752,30,0.005,2.07332,31.4265,0.0255289,0,59m50.044s
160,30,-20,1,132,6,0.001,0.00465489,0.637937,0.0228976,0,10m28.377s
160,78.5,-60,3,132,18,0.001,0.00974595,0.720754,0.0221209,0,10m32.033s
160,78.5,-100,2,132,6,0.001,0.00520584,1.29882,0.0213477,0,11m20.019s
160,30,-60,2,752,30,0.0025,0.700236,11.8713,0.0208258,0,57m58.628s
160,30,-20,3,1692,100,0.001,13.7388,78.1091,0.0203903,0,250m52.039s
160,30,-100,1,1692,50,0.001,0.0443866,3.78418,0.0185289,0,301m31.854s
160,78.5,-60,2,132,6,0.001,0.00243625,0.54053,0.0184974,0,10m11.030s
160,30,-60,1,132,6,0.025,455835,212601,0.0175709,0,17m49.198s
160,30,-100,3,1692,30,0.005,0.410754,3.29609,0.0155554,0,262m49.746s
160,30,-20,3,132,3,0.001,0.0131662,0.869384,0.014049,0,9m17.037s
160,30,-60,3,752,36,0.001,267.879,2458.13,0.0138129,0,59m31.771s
160,30,-20,3,752,30,0.0025,0.86219,7.0256,0.0137708,0,52m25.846s
160,30,-60,3,752,36,0.0025,42.4287,505.52,0.0131003,0,59m23.833s
160,30,-20,2,132,100,0.001,0.406506,8.98979,0.0129429,0,9m15.605s
160,78.5,-100,2,132,6,0.0025,0.00443184,0.356023,0.0129084,0,11m29.360s
160,30,-20,3,752,18,0.001,1.13386,12.2281,0.0126013,0,52m27.202s
160,30,-60,3,752,36,0.005,1.72069,18.4875,0.01228,0,58m40.030s
160,30,-100,3,752,36,0.0025,1.25405,37.9472,0.0112118,0,60m15.002s
160,30,-100,2,1692,50,0.005,0.178026,3.70996,0.010792,0,273m23.900s
160,30,-100,3,1692,18,0.05,198.959,730.333,0.0105732,0,261m59.728s
160,30,-60,3,752,18,0.001,73.8862,939.804,0.0101875,0,67m10.522s
160,30,-100,2,1692,30,0.0025,0.166918,2.94254,0.0093652,0,273m29.037s
160,30,-100,2,752,30,0.005,0.653907,11.722,0.0074342,0,63m49.550s
160,30,-20,3,132,36,0.001,0.172261,4.96119,0.0068778,0,8m46.426s
160,30,-20,3,132,30,0.001,0.117676,3.70127,0.0058334,0,9m14.562s
2,78.5,-100,3,132,6,0.001,0.0218961,2.24307,0.0016043,0,10m26.637s
160,30,-60,1,132,30,0.005,893.098,50822.2,0,0,17m32.678s
160,78.5,-100,1,132,36,0.001,0.00179097,0.616241,-0.001963,0,15m46.964s
160,150,-100,2,132,100,0.001,0.000540825,0.127733,-0.010354,1,36m55.279s
160,30,-100,3,1692,100,0.001,3.08771,86.3236,-0.011232,0,262m11.146s
160,30,-100,2,752,100,0.0025,0.967477,23.9922,-0.011682,0,63m48.698s
2,78.5,-100,3,752,36,0.001,0.012922,0.895048,-0.013145,0,57m56.148s
2,30,-100,1,752,1,0.001,0.0112354,0.674263,-0.01374,0,75m13.309s
160,78.5,-100,3,132,6,0.015,1.24E+06,249252,-0.015685,0,10m43.284s
160,30,-60,2,752,18,0.0025,0.094081,2.48445,-0.016821,0,58m11.839s
